Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Wer sind die Verantwortlichen für die Nichterfüllung der Vorgaben, auf welche Sektoren ist dies zurückzuführen, und warum hat seine Regierung, die den Vertrag mit dem Planeten vorgeschlagen hatte, diese Entwicklung nicht gestoppt.	Who are the people responsible for the breach, in which sectors have they taken place and why his Government, the contract with the planet, has not avoided it.	Who is responsible for failing to meet the targets, which sectors are responsible for this, and why did his government, which proposed the Treaty with the planet, not stop this development.
Außerdem ist er nun gezwungen, den spanischen Bürgern die von ihm vorgesehen Maßnahmen gegen den Klimawandel ohne Umschweife darzulegen.	In addition, it demands to explain with the utmost clarity to the Spanish which are the measures that are needed to restrain the climatic change.	It is also now obliged to explain to the Spanish citizens without any hesitation what measures it intends to take to combat climate change.
Welche Firmen davon betroffen sein werden, welches Verhalten der Bürger geändert werden soll, welchen individuellen und kollektiven Sparmaßnahmen durchgeführt werden müssen und welche wirtschaftlichen Folgen sich daraus ergeben.	Which companies will be affected, which citizen habits will have to be changed, which individual and collective power savings will we be forced to do, what economic consequences will it have.	What companies will be affected by this, what will be the behaviour of the citizens, what individual and collective austerity measures will have to be implemented and what will be the economic consequences of this?
Genauer gesagt, wer sich opfern muss und für die Rettung des Planeten bezahlen wird.	That is, who will be sacrificed and who will pay to save the planet.	To be more specific, who will have to sacrifice and pay to save the planet.
Allerdings hat es und wird es in Zukunft keine solchen Erklärungen geben.	But there has neither been nor will be explanations.	However, there have been no such declarations and there will be no such statements in the future.
Gerade weil es sich um das Aufopfern und das Bezahlen geht.	Indeed because someone will have to sacrifice and pay.	Precisely because it is a matter of sacrifice and payment.
Denn die Maßnahmen, die gegen den Klimawandel real eingesetzt werden können, sind unbeliebt.	Measures against climatic change, the real measures, are unpopular.	The measures that can be taken to combat climate change in real terms are unpopular.
Sie sind kostenreich, unbequem und bedrohlich für die Konten der Firmen und Bürger.	Expensive, uncomfortable and threatening for the accounts of companies and individuals.	They are costly, inconvenient and threatening for the accounts of firms and citizens.
Sogar der vom PSOE vorgeschlagene Benzin-Cent erschien Zapatero wahlstrategisch gesehen dermaßen gefährlich, dass er sich gezwungen sah, den Vorschlag wieder zurückzunehmen.	Such as the hundredth of the gasoline suggested by the PSOE, which close to the election may be dangerous to Zapatero, who has hastened to deny it.	Even the benzine cent proposed by PSOE appeared so dangerous in terms of the elections that it was forced to withdraw the proposal again.
Dementsprechend gilt es nun, den Planeten mit Nichts, also mit reiner Propaganda und leeren Sprüchen ohne jede reale Konsequenzen zu retten.	That is, which one is to save the planet without doing anything, with pure propaganda, with slogans devoid of all real consequence.	Accordingly, we must now save the planet with nothing, in other words with pure propaganda and empty slogans, without any real consequences.
Mit eindrucksvollen Aussagen, Kommissionen, Ausschüssen, Protokollen und neuen Ämtern.	With impressive phrases, commissions, committees, protocols, new positions.	With impressive statements, Commissions, committees, protocols and new posts.
Mit seinen Verträgen mit dem Planeten muss der sonst für Wahlkampagnen so geeignete Politiker weder reden, noch anklagen, noch fordern, stattdessen aber der anspruchsvollen Ausgabe nachgehen, die Treffen auszuschmücken und mit seiner Sanftmut und Güte andere zu begeistern.	With contracts with the planet, this man, who neither speaks nor complains nor demands, but adorns rallies and inspires tenderness, is very useful for election campaigns.	With its agreements with the planet, the politicians who are otherwise so suitable for election campaigns must neither talk nor denounce, but instead do the demanding expense of tidying up the meetings and, with his sanctity and goodness, inspiring others.
Dies kann aber nur dann geschehen, wenn der Vertrag nicht von seiner rein virtuellen Natur abweicht und demnach auch nicht vorgibt, dass das Fahrrad künftig zum einzigen Fortbewegungsmittel wird oder wir uns nur mit einem Fächer erfrischen dürfen.	Always, if the contract part is limited to being only virtual, and we only pretend to move around by bicycle or to stay fresh with a fan.	However, this can only happen if the Treaty does not deviate from its purely virtual nature and therefore does not pretend that the bicycle will become the only means of transport in the future, or that we can only refresh ourselves with a single subject.
Der Bürgermeister und der Polizeichef von Totana aufgrund einer vermeintlichen Verwicklung in eine städtebauliche Korruption.	Detained the Totana's mayor and the head of the local Police on a presumed plot of city-planning corruption	The Mayor and Chief of Police of Totana, due to an alleged involvement in urban corruption.
Die Guardia Civil hat den Bürgermeister der zu Murcia gehörenden Ortschaft Totana festgenommen, den populären Politiker José Martínez Andreo. Außerdem wurden noch der örtliche Polizeichef, die Sekretärin des Bürgermeisteramts und ein Hotelunternehmer wegen des mutmaßlichen Verdachts auf städtebauliche Verstöße in Gewahrsam genommen, hieß es heute aus Ermittlungskreisen.	The Civil Guard has detained the current mayor of the Murcian municipality of Totana, "popular" Jose Martinez Andreo, the head of the local Police, the secretary of the City council and a hostel businessman on possible city-planning crimes, sources have informed us today.	The Guardia Civil arrested the mayor of the town of Totana, which is part of Murcia, the popular attorney of José Martínez Andreo, and the local chief of police, the secretary of the mayor's office and a hotel firm, who were detained on suspicion of urban infringements, as was said today in the investigative circles.
Der Stadtrat wurde an seinem Wohnsitz festgenommen, von wo aus man ihn zum Gemeindeamt brachte und in dessen Räumlichkeiten er sich bis zum jetzigen Zeitpunkt befindet, umgeben von zahlreichen Agenten, die ebenfalls bei der städtischen Verwaltung und bei der kommunalen Bauleitung Suelo Industrial y Vivienda eingetroffen waren.	The contractor was arrested at his home address and transferred to the Consistory, in whose dependencies he is at the moment with several agents. The police have also carried out investigations at the City Council and the City Board of Building and Housing Development.	The town council was arrested in its place of residence, from where it was taken to the municipal authority and in the premises it is in until now, surrounded by a large number of agents who had also arrived at the municipal administration and the municipal management management of Suelo Industrial y Vivienda.
Die drei Festnahmen stehen im Zusammenhang mit den bereits letzten Montag in Galicien, Murcia und Madrid stattgefundenen Fahndungen, bei denen sich herausstellte, dass mehr als 2 Millionen Hektar unerschlossener Baugrund für städtebauliche Projekte unter der Leitung der galizischen Konstruktionsfirma Nuaria umgestaltet werden sollten. Diese sollte auf dem Grundstück 4000 Wohnungen errichten, nachdem die lokale Verwaltung ihr während der letzten Legislaturperiode illegale Provisionen zukommen lies.	These three arrests are added to six made last Monday in Galicia, Murcia and Madrid, in an operation linked to the re-classification of more than 2 million hectares from rural land to building area, so that the Galician company Nuaria constructed 4,000 houses, after the payment of illegal commissions during the last legislature.	The three arrests are linked to the visits already made last Monday in Galicia, Murcia and Madrid, which showed that more than 2 million hectares of unfinished land for urban projects under the leadership of the Galician construction company, Nuaria, should be transformed into a property of 4000 homes after the illegal revisions that the local administration carried out during the last parliamentary term.
Zusätzlich wurden noch zwei weitere Personen zwar nicht direkt verhaftet, aber einem Ermittlungsverfahren unterzogen, welches von dem ersten Gericht Totonas veranlasst und durchgeführt wird.	In addition, two other people were detained but not charged in the summary, that instructs the Totana's number 1 Court.	In addition, two other people were not directly arrested, but were subject to an investigation, which was initiated and carried out by the first Totonas court.
Die ersten sechs Verhafteten sind heute dem Richter vorgeführt worden.	The six first arrests have gone before the court today.	The first six detainees have been brought before the judge today.
Nach Aussage von Ermittlungskreisen wird auch gegen den ehemaligen Bürgermeister von Totana und derzeitigem unabhängigen PP-Abgeordneten Juan Morales ermittelt.	According to information sources, the previous alderman of Totana and actual autonomic parliamentary of the PP, Juan Morales, is being investigated.	According to investigation teams, the former Mayor of Totana and the current independent JPA member Juan Morales are also being investigated.
Weiterhin stehen seine Exfrau, Inhaberin einer in Totana angemeldeten Immobilienfirma, wie auch seine jetzige, in Murcia residierende Freundin unter Verdacht.	In addition, the former wife, proprietor of a registered real estate agency in Totana, has been arraigned, as is the current girlfriend of former alderman that resides in Murcia capital.	His enquiry, the holder of a property company registered in Totana, and his current friend, who is in Murcia, are also under suspicion.
Der Vorsitzende und Inhaber der Gruppe Nuaria, der aus Vigo stammende Anwalt und Unternehmer Manuel N.A., wurde in der Ortschaft von Nigrán (Pontevedra) festgenommen, so wie auch der Geschäftsführer von Suelo de Inmonuar Pablo José M.G., dessen Unternehmen als Teilgruppe von Nuaria fungiert und das Schmiergeld erhalten haben soll.	The director and proprietor of the Group Nuaria, the lawyer and industrialist Vigo Manuel N.A., was detained in Nigrán (Pontevedra), as was Pablo Jose M.G., ground director of Inmonuar, an agency integrated with the mentioned group, and through which the bribes would have been made.	The leader and owner of the group Nuaria, the Vigrán lawyer and businessman Manuel N.A@@., was arrested in the town of Nigrán (Pontevedra), as was the Managing Director of the company of SvenSuelo de Inmonuar тPablo José M.G@@., whose company is alleged to have been treated as a subgroup of unsafe nuclear shells and has been given bribes.
Die Ermittlungen werden durchgeführt von der Kommunalen Behörde gegen städtebauliche Delikte, unter Aufsicht der Zentraleinheit der Guardia Civil, dessen Vertreter zusätzlich zu den Festnahmen noch elf weitere Durchsuchungen vornahmen, die meisten von ihnen in Unternehmen, die in direktem Zusammenhang standen mit den in Madrid, Vigo, Murcia, Pontevedra, Las Rozas (Madrid) und Totana stattgefundenen Verhaftungen.	The investigation is the responsibility of the City-planning Crimes Group of Operating Central Office (UCO) of the Civil Guard, whose agents, in addition to the arrests, carried out eleven records, the majority to companies related to the detainees and located in Madrid, Vigo, Murcia, Pontevedra, Madrid and Totana.	The investigation is being carried out by the local authority against urban offences, under the supervision of the Guardia Civil central unit, whose representatives have carried out 11 further searches in addition to the arrests, most of them in companies directly related to the arrests in Madrid, Vigo, Murcia, Pontevedra, Las Rozas (Madrid) and Totana.
Zu diesem Zeitpunkt wurde nur eine einzige Person in Totana festgenommen: Der Inhaber eines regional bekannten Geflügelzuchtgewerbes, der als Mittelmann agiert haben soll.	One person was then arrested in Totana, in particular, the owner of poultry product company well known in the region, that could have acted as an intermediary.	At that time, only one person was arrested in Totana: the owner of a regionally known poultry farming industry, who was supposed to have acted as a mediator.
Die Baugruppe Nuaria wurde beauftragt, den größten Wohnkomplex der zu Murcia gehörenden Ortschaft zu errichten; dieser sollte mehr als 5000 Wohnungen, einen Golfplatz und zwei Spa-Hotels beinhalten.	The Nuaria Group was responsible for developing what became the largest residential complex of the Murcian municipality of Totana, that involved the construction of more than 5,000 houses, a golf course and two hotels with "spa".	The Nuaria building group was instructed to build the largest residential complex of the town of Murcia, which should have more than 5 000 homes, a golf and two Spam hotels.
Das Unternehmen erwarb in Totana über 2,2 Millionen Quadratkilometer Fläche, die es umzubauen galt. Ziel war die Verwirklichung eines Bauprojekts, welches die Bevölkerung der Gemeinde auf 25.000 Einwohner anheben würde.	The company acquired in Totana 2.2 million square meters of land that were re-classified and its project presupposed the duplication of the population of the municipality, that has 25,000 inhabitants.	The company acquired over 2.2 million square kilometres in Totana, which had to be rebuilt, with the aim of implementing a construction project that would increase the population of the municipality to 25 000 inhabitants.
Die Gruppe Nuaria umfasst weitere Firmen wie Autesa und Inomonuar, die auf den Verkauf von Immobilien fördern; Conyase, die in Vigo die Parkplätze der Straßen Coruña, Venezuela und die der Plaza Fernando el Católico betreibt; Hogartel, dessen Tätigkeit sich auf den Sektor des Direktmarketings beschränkt und Preconiza, spezialisiert auf die Promotion, den Verkauf und die Installation von Bauelementen.	The Nuaria Group integrates companies like Autesa and Inomonuar, dedicated to the real estate development; Conycase, that manages the parking venues of the streets of Coruña's, Venezuela and the Fernando the Catholic square; Hogartel, dedicated to the sector of direct marketing; Preconiza advocated focusing on the promotion, sale and installation of the elements of construction.	The Nuaria group includes other companies such as Autesa and Inomonuar, which promote the sale of property; Conyase, which is operating in Vigo on the parking sites of the Coruña, Venezuela and the Plaza Fernando el Católico; Hogartel, whose activities are limited to the direct marketing sector and Preizconiza, specialising in the promotion, sale and installation of construction elements.
Dinge, die passieren können	Things that happen	Things that may happen
1.	1.	1.
Wenn Sie damit einverstanden sind, werden wir uns von dem Ausdruck Buch des Monats abwenden und stattdessen versuchen, eine Preis-Bezeichnung anderen Namens mit entsprechenden Kompetenzen zu erfinden.	If it seems to you, we are going to leave the Book of the Month, and see if in the meanwhile we have another Awardology and other competitions.	If you agree, we will move away from the expression based on the written book of the month and instead try to invent a price name for another name with appropriate competence.
Ich habe bereits einen Vorschlag.	I'm already sketching something.	I have a proposal already.
Leute, das Leben bedeutet Veränderung.	Life is change, people.	People, life means change.
Selbstverständlich sind Sie herzlich eingeladen, Ihre Vorschläge anzubringen.	Of course, you're invited to put forward inventions.	You are, of course, most welcome to put forward your proposals.
2.	2.	2.
Unsere finnische Korrespondentin erklärt uns den gestern in der wichtigsten finnischen Zeitung, der Helsingin Sanomat, erschienenen Kommentar (Finnland befindet sich übrigens an der Spitze der PISA Studie), welcher zu der in der selben Zeitung, am 18.November veröffentlichte Anmerkung Stellung bezieht; zufälligerweise an jenem Tag, dessen Ausgabe die Kritik zum Buch Blackburns enthielt.	Our Finnish correspondent provided this commentary from yesterday's Helsingin Sanomat, the most important Finnish newspaper (by the way in head of the PISA report about educative level in the world), which refers to what was published on November 18th, the same day in which appeared there a specific criticism to the book of Blackburn:	Our Finnish correspondent explains to us the comment made yesterday in the main Finnish newspaper, the Helsinki St Somat (Finland is, incidentally, at the head of the PISA study), which takes a position on the comment published in the same newspaper on 18 November; incidentally, on that day, the edition of which contained the criticism of the Book Blackburn.
Der Inhalt des Faches Philosophie ist nach der Tragödie um die Schule von Jokela Thema der öffentlichen Debatte geworden.	"The content of Philosophy signature has come to the public attention as a result of the tragedy of the Jokela's school.	Following the tragedy at Jokela School, the content of the subject of the simple philosophy has become a subject of public debate.
Verantwortlich für die grausamen Morde ist ein Abiturient, der in seinen Nachrichten die Werke Platons und Nietzsches zitierte.	To blame for the deaths, a high school student mentioned in his messages works of Plato and Nietzsche.	Responsible for the cruel murders is a Abiturient who, in his news, quoted the works of Plato and Nietzsche.
Der Vorsitzende des Bildungsrats für das Fach Philosophie, Pekka Elo, forderte in einem Interview der Tageszeitung Helsingin Sanomat die Lehrer dazu auf, eine kritischere Stellung gegenüber Platon einzunehmen und schlug vor, die Lehre Platons aus den Unterstufen-Lehrplänen für das Fach Philosophie an Gymnasien zu streichen.	The Education Advisor and responsible for Philosophy, Pekka Elo, demanded from the pages of the newspaper Helsingin Sanomat that professors adopt a critical attitude towards Plato and affirmed that to study Nietzsche is not essential in the obligatory basic course of Philosophy in the institutes".	The chairman of the Committee on Education for the Fach Philosophy, Pekka Elo, in an interview of the Elgin Sanomat newspaper, called on the teachers to adopt a more critical stance towards Platon and proposed that the Platon's apprenticeship should be deleted from the Study Study for the Fach Philoxenia of Gymnasia.
3.	3.	3.
Ein Kollege informiert über die Aufnahme von illegalen Internetdownloads ins Strafgesetzbuch:	A colleague has passed information over the introduction in the Penal Code of the crimes over downloading from the Internet:	One Member informs of the inclusion of illegal Internet downloads in the penal code:
A. Der Download eines Lieds wäre ein Gesetzesbruch, die mit sechs Monaten Haft betraft werde.	A. The downloading of one song would be a criminal offence carrying a penalty of six months to a year.	Oh a lift downloading would be a breach of the law, which would be considered to be six months' imprisonment.
Wenn du aber wiederrum ein Musikgeschäft unter einem Wert von 400 Euro ausraubst, so gilt dies nur als einfacher Verstoß (Artikel 623.1).	However, if you steal from the music store for a value inferior to 400 euros, it is considered simply a misdemeanour(article 623,1).	But if you go back to the business of music below EUR 400, it is only a simple infringement (Article 623 (1)).
B. Wenn du das Geschäft bis hin zu einem Wert von 1000 Euro ausraubst, dann wird der Diebstahl zwar als Straftateingestuft, dennoch fällt die Strafe geringer aus als bei einem Download (Artikel 234 Strafgesetzbuch).	B. If you steal from the store up to 1000 euros, the theft already is crime, but the penalty continues being inferior to the one imposed for downloading (article 234 of the Penal Code).	For example, if you shut the shop up to a value of EUR 1 000, the theft is indeed a criminal offence, but the penalty is less than for a download (Article 234 of the Criminal Code).
C. Wenn du ein Auto klaust und es vierzig Stunden später wieder zurückgibst, dann ist die Strafe immer noch geringer als bei einem Download (Artikel 244.1).	C. If you steal a car and you give it back 40 hours later, the penalty continues being inferior to the one for downloading (article 244,1).	Indeed, if you change a car and recapitulate it forty hours later, the penalty is still lower than that for a download (Article 244.1).
D. Es ist weniger schwerwiegend an einer Schlägerei teilzunehmen als an einem Musikdaten-Austausch.	D. It is less serious to participate in a fight than to participate in the interchange of degraded music.	It is not so serious to participate in a script as to take part in a music exchange.
Sich an einer rebellischen Auseinandersetzung zu beteiligen zieht eine Gefängnisstrafe von drei bis 12 Monaten nach sich (Artikel 154 Strafgesetzbuch), während der Daten-Austausch einen Freiheitsentzug von sechs Monaten bis zu zwei Jahren zur Folge hat	To participate in a big fight carries a penalty of three months to a year (article 154 of the Penal Code) and the interchange would have a penalty of six months to two years	To engage in a rebellious dispute entails a prison sentence of three to 12 months (Article 154 Criminal Code), while data exchange results in a deprivation of liberty of six months to two years.
(Artikel 270 Strafgesetzbuch).	(article 270 of the Penal Code).	(Article 270 Criminal Code)
E. Nach dem Artikel 184.2 des Strafgesetzbuches wird sexuelle Belästigung am Arbeitsplatz als weniger schlimm betrachtet als das Herunterladen eines DVD-Films aus dem Internet.	E. Sexual harassment at work is considered less serious than downloading a film on DVD, according to article 184,2 of the Penal Code.	In fact, Article 184.2 of the Penal Code states that sexual harassment in the workplace is considered less serious than downloading a DVD film from the Internet.
F. Der Handel mit Copyright-geschützten Filmen, dessen Autorisierung durch die Urheber nicht stattgefunden hat, wird einer höheren Strafe ausgesetzt als die Verteilung pornografischen Filmmaterials an Minderjährige (Artikel 186).	F. The distribution of films protected by copyright and without the authors' authorization carries a higher penalty than the distribution of pornographic material to minors (article 186).	. Failure to trade in copyright films, which has not been authorised by the creators, will be subject to a higher penalty than the distribution of pornographic film material to minors (Article 186).
Nun ja, also falls mein Kollege Recht haben sollte, dann hat jemand seine Forderungen aber ganz schön hochgeschraubt.	Well, if my colleague is right, somebody is stretching the law a bit too far.	Well, so if my colleague is right, someone has made a fine job of overstating his demands.
4.	4.	4.
Mein Hausarzt überreicht mir einen seiner langen, seltsamen Forschungsartikel mit dem Titel: Geld führt zu Aktivierung bestimmter Gehirnbereiche, vor allem, wenn die anderen mehr davon bekommen.	My attending physician gave me an article on a rare investigation titled: "Money produces brain activity, mainly if the others receive less'.	My own home doctor gives me one of his long, strange research articles entitled: 'If money is used, it leads to the activation of certain brains, especially if the others get more of it'.
Also sind die durch die monatliche Gehaltszahlung entstehenden Gefühle von dem Gehalt der Kollegen abhängig.	That is, that the feelings that are generated by the monthly wages of the workers depends on how much colleagues earn.	So the feelings raised by the monthly salary are dependent on colleagues' salaries.
Die Studie wurde mithilfe von einer tomographisch-magnetischen Referenzanalyse an der Universität Bonn erstellt, und die Ergebnisse wurden in der letzten Ausgabe der Wissenschafts-Zeitschrift Science veröffentlicht.	A study has been made using magnetic resonance at the University of Bonn, and the results have been published in the last issue of Science.	The study was carried out by means of a tomographical reference analysis at Bonn University, and the results were published in the latest edition of the scientific journal Science.
Nach Aussage Bernd Webers, Autor der Studie und Direktor des Bonner Hirnforschungszentrums Life&Brain, war die Aktivierung dann am stärksten, wenn der Teilnehmer richtige Antworten gab und sein Mitspieler hingegen scheiterte.	According to Bernd Weber, author of the study and director of the Neurocognition Image Group of the Life & Brain Institute, in Germany: "the hardest activation took place when the participant responded correctly and his companion failed".	Bernd Webers, the author of the study and director of the Bonn HirnResearch Centre, Life & Brain, said that the activation was strongest when the participant gave the right answers and his actor failed.
Die Forscher konnten erkennen, dass die Gehirnaktivitäten immer sehr moderat ausfielen, wenn beide Teilnehmer mit ihrer Antwort richtig lagen und demnach auch dasselbe Gehalt bekamen; aber wenn einer von ihnen das doppelte erhielt, kam es auch zu einer stärkeren Gehirnaktivität.	The investigators observed that when both guessed right and received the same payment, the activation was moderate, but if one received double, the activation was greater.	Researchers have been able to see that brain activity has always been very moderate when both participants were right in their response and received the same salary, but when one of them was given double, there was also a greater brain activity.
Ich bin mir nicht ganz sicher, ob es tatsächlich soviel wissenschaftlichen Aufwand erfordert, zu einem solchen Ergebnis zu gelangen.	I do not know if this conclusion required as much science.	I am not quite sure whether it will take so much scientific effort to achieve such a result.
Die Staatsanwältin aus dem Balkan	The public prosecutor of the Balkan	The Balkan public prosecutor
Carla del Ponte fahndet schon seit acht Jahren unerbittlich nach den Verbrechern der Balkankriege. Ihr Amtssitz befindet sich in der Staatsanwaltschaft des Strafgerichtshofs des ehemaligen Jugoslawiens, ansässig in La Haya.	Carla del Ponte has been eight years implacably pursuing the war criminals of the Balkans from the public prosecutor's office of the Penal Court for the ex- Yugoslavia, located in The Hague.	Carla del Ponte has been ruthlessly trampling for eight years on the criminals of the Balkan wars, and is in the public prosecutor's office of the former Yugoslavia court, based in La Haya.
Ihr Mandat wird Ende des Jahres auslaufen und Carla wird ihr Amt mit einem weinenden und einem lachenden Auge verlassen, da die Hauptverantwortlichen des Massakers von Srebrenica - bei dem achttausend bosnische Muslime ums Leben kamen - nämlich der Ex-General Ratko Mladic und der ehemalige serbo-bosnische Anführer Radovan Karadzic weiterhin auf freiem Fuß sind.	Her mandate expires at the end of year and Carla will go with bittersweet flavour, because people responsible for the Srebrenica's slaughter - where 8,000 Muslim Bosnians died, the ex-general Ratko Mladic and the ex-Bosnian Serb leader Radovan Karadzic, are still at large.	Their mandate will expire at the end of the year and Carla will leave office with a wearisome and laughable eye, as the main culprits of the Srebrenica massacre - in which eight thousand Bosnian Muslims died - are still at large, namely ex-General Ratko Mladic and the former Serbo-Bosnian leader Radovan Karadzic.
Ihre Namen befinden sich auf Liste, die der aus der Schweiz stammende Regisseur Marcel Schüpbach als Vorlage für den Titel seiner Dokumentarfilms La Liste de Carla (2006, in Spanien noch nicht angelaufen); ein Film, der mit dem Tempo eines Polit-Thrillers die schweizerischen Staatsanwältin von Belgrad bis nach New York bei ihrem Vorhaben verfolgt, die entkommenen Kriminellen aufzuspüren und die jeweiligen Regierungen unter Druck zu setzen, damit diese ihre Netze enger schnüren.	Their names are in the list from which the Swiss documentary, produced by Marcel Schüpbach, takes its title, "Carla's list" (2006, not released in Spain), which has the pace of a police thriller, and follows the work of the Swiss public prosecutor from Belgrade to New York to prosecute the fleeing criminals and pressure the governments concerned to strengthen the siege.	Their names are on the list, which is made up of the Swiss director Marcel Schüssel, who is on the list of his documentaries' La List de Carla (2006, not yet in Spain); a film which, at the rate of a Politburo, is following the Swiss public prosecutor from Belgrade to New York for her project to track down the escaped criminals and to put pressure on the respective governments to close their networks.
Welche Versicherung eignet sich für mich am besten?	Which insurance is good for me?	What kind of insurance is best for me?
Die KFZ-Versicherung, die einen vom Fahrer verursachten möglichen Schadensfall abdeckt, beinhaltet einen hohen Kostenaufwand, dessen Höhe wiederrum von verschiedenen Faktoren abhängt, u.a. von Alter, Geschlecht, Zeitpunkt der Erstellung des Führerscheins, Familienstand, Art des zu versichernden Autos und dessen Nutzung, usw.	The car insurance that covers the driver against possible claims, represents a major expense that would depend on various factors, such as age, sex, length of membership, marital status, the type of vehicle to insure or the usage of the latter, among others.	CHP insurance, which covers a possible accident caused by drivers, involves a high cost, the level of which relies on various factors, including age, sex, the time when the driving licence is to be issued, the family status of the car to be covered and the use thereof, and so on.
Ein Auto zu besitzen ist nur der Anfang.	Having the car is only the beginning.	Having a car is only the beginning.
Denn es ist sogar schwieriger die passende KFZ-Versicherung zu finden als das richtige Fahrzeugmodell.	Because choosing the right car insurance is even more difficult than choosing the vehicle model.	It is even more difficult to find the appropriate car insurance than the right vehicle model.
Zunächst einmal muss einem klar sein, womit wir es hier zu tun haben.	First we must be clear what we are talking about.	First of all, one must be clear about what we are dealing with here.
Eine Autoversicherung ist eine Vereinbarung zwischen einer Versicherungsgesellschaft und einem Versicherungsnehmer.	The car insurance is an agreement between an insurance agency and the insured.	Car insurance is an agreement between an insurance company and an insurance policyholder.
Diese Vereinbarung wird schriftlich mittels eines Versicherungsvertrags festgehalten, der festlegt, dass die Gesellschaft die abgesprochene Versicherungsprämie erhält und im Gegenzug verpflichtet ist, bei einem Schadensfall die entsprechende Abfindungssumme vorzulegen.	This commitment is translated into an insurance contract, which stipulates that the company will receive the agreed premium and in return it is responsible for the obligation to pay compensation in the event of loss.	This agreement is set out in writing by means of an insurance contract which stipulates that the company will receive the insurance premium it has agreed and that it will be obliged to submit the corresponding amount of compensation in the event of a claim.
Die Versicherungsprämie ist der Preis einer Versicherung, der sich durch mehrere Faktoren zusammensetzt, u.a. Alter, Geschlecht, Zeitpunkt der Erstellung des Führerscheins, Familienstand, Art des zu versichernden Fahrzeugs oder dessen Nutzung.	The premium is the insurance price, which is established considering diverse factors, such as the age, sex, the length of membership, marital status, the type of vehicle to insure or the usage of the latter, among others.	The insurance premium is the price of insurance which is made up of several factors, including age, sex, the time when the driving licence is being produced, the level of the family, the type of vehicle to be covered or the use of it.
Die Versicherungsunternehmen setzen ihre Preise entsprechend der Statistiken fest, sodass bei einer höheren Unfallgefahr auch höhere Beitragszahlungen fällig werden.	The insuring companies establish their prices based on the statistics, so that the greater the probability of having an accident is, the greater the premium is.	Insurance companies set their prices according to the statistics, so higher contributions are also required if the risk of accidents increases.
Aus diesem Grund müssen sowohl über 25-Jährige als auch Frauen weniger Beitragszahlungen leisten, denn Statistiken belegen, dass diese Gruppen dank ihrer Vorsicht eine geringere Unfallquote aufweisen.	It is for this reason that both drivers older than 25 and women have to pay lower premiums, since statistics show that they have a smaller accident index due to their prudence.	For this reason, both over 25 and women will have to pay less, because statistics show that, thanks to their caution, these groups have a lower accident rate.
Dasselbe gilt auch für verheiratete Personen, da diese nach Aussage der statistischen Werte und demnach auch nach Überzeugung der Unternehmen, zu weniger Unfällen neigen wie Alleinstehende.	Also, making use of the statistics, companies have reached the conclusion that the married people tend to have less accidents than celibate drivers.	The same applies to married people, who, according to the statistics and therefore also the conviction of companies, tend to be less affected than single people.
Der Nutzen, der dem Fahrzeug beigemessen wird, beeinträchtigt die Häufigkeit des Fahrens und damit auch die Wahrscheinlichkeit eines Unfalls.	The use of the vehicle will influence the frequency, and with it in the probability of having some type of mishap.	The benefits attached to the vehicle affect the frequency of the vehicle and, therefore, the likelihood of an accident.
Je häufiger die Nutzung, desto wahrscheinlicher der Schaden.	Increasing the frequency increases the probabilities.	The more frequent the use, the more likely the damage is.
Bei der Aufstellung der Prämie müssen die Versicherungen eine ganze Reihe von Punkten berücksichtigen.	There are many variables that the insurers consider when establishing the price of the premium.	In the process of drawing up the premium, insurance companies must take a whole range of points into account.
Aus diesem Grund muss auch der Fahrer die Situation gründlich studieren, um genau die Autoversicherung auszuwählen, die seinen persönlichen Bedürfnissen am ehesten entgegenkommt.	It is for this reason, that the driver has to study his situation to choose the insurance that better adjusts his profile.	For this reason, drivers too must study the situation thoroughly in order to choose precisely the car safety that best meets their personal needs.
Wir listen an dieser Stelle nun die wichtigsten Punkte auf, die man bei der Auswahl einer Versicherung in Betracht ziehen sollte, um nicht nur eine leistungs-, sondern auch eine preisorientierte Wahl treffen zu können.	Presented here are the most significant variables in choosing one or another kind of insurance that, in addition to adapt to the characteristics of the insured, offers a reasonable price.	We are now listing the most important points that should be taken into account when choosing insurance, so that we can make not only a choice based on performance but also a price.
Die unter 25-Jährigen treffen bei der Wahl einer preisgünstigen Versicherung auf zahlreiche Hindernisse, wie z.B. die geringe Fahrpraxis und der junge Führerschein.	People younger than 25 years have diverse disadvantages at the time of contracting an insurance at a reasonable price, as the reduced driving experience and the length of the membership.	Those under 25 years of age encounter many obstacles in choosing low-cost insurance, such as low driving practice and the fitted young driving licence.
Selbst wenn es für einen idealen Versicherungsschutz am besten wäre, eine Vollkaskoversicherung abzuschließen, gibt es dennoch preiswertere Alternativen.	Although, to be well insured, it is ideal to have a fully comprehensive insurance, other economic options exist.	Even if it is best for an ideal insurance scheme to take full debt insurance, there are cheaper alternatives.
Die vorsichtigen Fahrer können einen Vollkasko mit Selbstbeteiligung auswählen, sodass die Leistungen einer Vollkaskoversicherung zwar abgedeckt, aber zu einem niedrigen Preis angeboten werden.	The most cautious drivers can decide for a franchise with any risk, so that they obtain the insurance coverage, but at a price more feasible.	The cautious drivers can choose a full cascade with their own participation, so that the benefits of full insurance are covered but offered at a low price.
